Company Name,Company Type,Industry Sector,Brief Description,Location (County),Location,Website,LinkedIn Profile,Employees,Latitude,Longitude
Pluton Biosciences,Research & Development,Agriculture & Food,Microbial discovery company using high-throughput soil metagenomics to identify novel microbes that enable sustainable crop protection and carbon removal.,Mid St. Louis County,"11754 Westline Industrial Dr, St. Louis, MO 63146",https://www.plutonbio.com,https://www.linkedin.com/company/pluton-biosciences,11-50,38.702574,-90.434103
Precision Practice Management ,Business & Technical Services,Digital Health & Clinical Tech,"Healthcare services company providing medical billing, revenue cycle management, and IT support for physician practices, hospitals, and outpatient clinics nationwide.",Mid St. Louis County,"689 Craig Rd, St. Louis, MO 63141",https://www.precisionpractice.com/,https://www.linkedin.com/company/precision-practice-management/,51-200,38.668648,-90.437884
Prognosia,"Tools, Instrumentation, & Platforms",Digital Health & Clinical Tech,Biotechnology startup developing AI-driven proteomics analytics that predict disease risk and treatment response from blood-based protein signatures.,,,https://prognosiahealth.ai/,,2-10,0,0
Quercus Biosoltions,Contract Services,Enabling Tools & Platforms,"Biotechnology company providing custom assay development, bioprocessing reagents, and analytical services to support biologics research and manufacturing.",,,https://quercusbio.com/,https://www.linkedin.com/company/quercusbio/,2-10,0,0
RhoDx,Research & Development,Medical Devices & Diagnostics,Diagnostics company developing rapid point-of-care blood tests for Rho(D) status and other immunohematology markers to improve safety in pregnancy and transfusion medicine.,St. Louis City,"4340 Duncan Ave. Suite 234 St Louis, MO 63110-1110",https://www.rhodx.com/,https://www.linkedin.com/company/rhodx/,2-10,38.636248,-90.255336
RNAissance Ag,Research & Development,Agriculture & Food,"Agricultural biotechnology company developing RNA-based biopesticides that provide highly targeted, environmentally safe crop protection without traditional chemical pesticides.",Mid St. Louis County,"1005 North Warson Road Suite 375 St. Louis, MO 63132

",https://www.rnaissanceag.net/,https://www.linkedin.com/company/rnaissance-ag,2-10,38.676203,-90.395381
Saluna,"Tools, Instrumentation, & Platforms",Synthetic & Engineered Biology,"Biotechnology company developing cell-free biomanufacturing platforms that enable rapid, scalable production of complex biologics using synthetic biology instead of living cells.",Mid St. Louis County,"1100 Corporate Square Drive Saint Louis, MO 63132
",https://saluna.ag/,,2-10,38.677479,-90.400576
SAYeTECH,Manufacturing & Production,Agriculture & Food,Agriculture-technology company that designs and builds smart farming machinery and sensor solutions tailored for precision crop production.,Mid St. Louis County,"1100 Corporate Square Drive · Saint Louis, MO 63132",https://sayetech.io/,https://www.linkedin.com/company/sayetech/,2-10,38.677479,-90.400576
Seiler Instrument & Mfg. Co.,Manufacturing & Production,Enabling Tools & Platforms,"Precision manufacturing company specializing in optical instruments, geospatial survey equipment, and medical device components for government, commercial, and scientific applications.",West St. Louis County,"3433 Tree Court Industrial Blvd, St. Louis, MO 63122",https://www.seilerinst.com,https://www.linkedin.com/company/seiler-instrument-and-manufacturing-company,201-500,38.562307,-90.461798
SentiAR,"Tools, Instrumentation, & Platforms",Heart & Metabolic Health,Medical technology company developing an augmented-reality visualization platform that displays real-time 3D holographic cardiac imaging to improve catheter-based heart procedures.,St. Louis City,"212 Kingshighway Blvd Box #28 Suite #115, St. Louis, MO 63108",https://www.sentiar.com,https://www.linkedin.com/company/sentiar,11-50,38.644373,-90.263758
SIM Surgical ,Manufacturing & Production,Medical Devices & Diagnostics,"Medical device manufacturer producing precision surgical instruments and custom OEM components for hospitals, distributors, and medical device companies.",West St. Louis County,"2076 Fenton Logistics Park Blvd.
St. Louis, MO 63026",https://simsurgical.com/,https://www.linkedin.com/company/sim-surgical/,51-200,38.547638,-90.454479
Solis Agrosciences,Contract Services,Agriculture & Food,"Plant science company providing fast-turnaround genome editing, transformation, and trait development services to accelerate crop and ag biotech R&D.",Mid St. Louis County,"1100 Corporate Square Dr, Creve Coeur, Missouri 63132, US",https://solisagrosciences.com,https://www.linkedin.com/company/solis-agrosciences,11-50,38.677479,-90.400576
Spearhead BIo,Research & Development,Pharmaceuticals,Biotechnology company developing novel peptide-based and targeted biologic therapies for inflammatory and metabolic diseases.,Mid St. Louis County,"975 North Warson Road Saint Louis, MO 63132",https://danforthtechnology.com/spearhead-bio/,https://www.linkedin.com/company/spearhead-bio/,2-10,38.675875,-90.396818
SteadyMD,Business & Technical Services,Digital Health & Clinical Tech,"Virtual healthcare company that provides telehealth infrastructure, staffing, and regulatory support for digital health brands, clinics, and consumer health platforms.",St. Louis City,"30 Maryland Plaza 3rd Floor, St. Louis, MO 63108",https://www.steadymd.com/,https://www.linkedin.com/company/steadymd/,51-200,38.645014,-90.262303
Steris,Contract Services,Medical Devices & Diagnostics,"STERIS operates major facilities in the St. Louis region that provide medical device sterilization, industrial decontamination, and contract sterilization services for healthcare, pharmaceutical, and life-science manufacturers.",Mid St. Louis County,"7501 Page Avenue St Louis, Missouri 63133",https://www.steris.com/,https://www.linkedin.com/company/steris-corporation/,10001,38.679077,-90.318952
Sterling Pharma,Contract Services,Pharmaceuticals,"Sterling Pharma Solutions operates a large-scale facility in St. Louis that provides contract development, analytical services, and commercial manufacturing of small-molecule active pharmaceutical ingredients (APIs) and drug products for global pharmaceutical clients.",St. Clair County,"109 S 2nd St, Dupo, IL 62239",https://www.sterlingpharmasolutions.com/,https://www.linkedin.com/company/sterling-pharma-solutions/,1001-5000,38.518807,-90.210164
SweetSpot,Business & Technical Services,Digital Health & Clinical Tech,Digital health company that delivers personalized metabolic coaching and real-time nutrition guidance using continuous glucose data to help users manage blood sugar and improve metabolic health.,St. Louis City,"4340 Duncan Ave, St Louis, Missouri 63110, US",https://www.sweetspot.health/,https://www.linkedin.com/company/sweetspotdiabetes/about/,2-10,38.636248,-90.255336
Syndeavor Therapeutics,Research & Development,Pharmaceuticals,Biotech company developing small-molecule inhibitors of tumor metabolism aimed at personalized cancer treatment,,,,,2-10,0,0
SynerZ,Research & Development,Medical Devices & Diagnostics,"Medical device company developing a minimally invasive, endoscopically delivered device that mimics gastric bypass surgery to treat obesity and type 2 diabetes.",Mid St. Louis County,"10411 Clayton Road Suite 302 Saint Louis, MO 63131",,,,38.634053,-90.409754
Thermo Fisher Scientific,Manufacturing & Production,Pharmaceuticals,"Thermo Fisher Scientific’s St. Louis facilities specialize in biologics development and large-scale contract manufacturing of viral vectors, cell therapies, and other advanced biologics for pharmaceutical and biotech clients.",North St. Louis County,"4766 La Guardia Dr, Berkeley, MO 63134",https://www.thermofisher.com,https://www.linkedin.com/company/thermo-fisher-scientific,10001,38.730491,-90.338124
Varro Life Sciences ,"Tools, Instrumentation, & Platforms",Medical Devices & Diagnostics,"Biotech company developing ultra-fast, breath- and air-based biosensor devices capable of detecting airborne or aerosolized pathogens in real time.",St. Louis City,"20 South Sarah Street, St. Louis, MO 63108",https://varrobio.com/,https://www.linkedin.com/company/varrobio/,2-10,38.637034,-90.2469
Vir Biotechnology,Research & Development,Pharmaceuticals,"Clinical-stage immunology company developing antibody, T-cell, and siRNA therapeutics to prevent and treat serious infectious diseases, including viral, respiratory, and chronic infections.",St. Louis City,"4240 Duncan AveSt. Louis, MO 63110",https://www.vir.bio,https://www.linkedin.com/company/vir-biotechnology-inc-,201-500,38.634691,-90.251384
Wugen,Research & Development,Cancer/Oncology,"Clinical-stage biotechnology company developing off-the-shelf, gene-edited allogeneic CAR-T and NK cell therapies to treat solid tumors and hematologic cancers.",St. Louis City,"4260 Forest Park Ave Suite 100, St. Louis, MO 63108",https://wugen.com,https://www.linkedin.com/company/wugen-inc-,51-200,38.635619,-90.252069
Young Dental,Manufacturing & Production,Medical Devices & Diagnostics,"Manufacturer of professional dental products, best known for producing prophy angles, pastes, and hygiene instruments used by dental clinicians worldwide.",North St. Louis County,"13705 Shoreline Ct E, Earth City, MO 63045",,https://younginnovations.com/,,38.768519,-90.465263
Zeiss,"Tools, Instrumentation, & Platforms",Medical Devices & Diagnostics,"ZEISS’s St. Louis operations provide advanced optical, imaging, and metrology systems—including microscopes, ophthalmic equipment, and industrial inspection tools—for clinical, research, and manufacturing applications.",West St. Louis County,"13205 Manchester Rd #410, St. Louis, MO 63131",https://www.zeisgroup.com/,https://www.linkedin.com/company/zeiss/,10001,38.602932,-90.463686
